Timestamp,Algorithm,Objective_Type,Tuning_Profile,Trajectory_Type,Controller_Type,GS_Method,T_Max,Setpoint_Pitch,Setpoint_Yaw,Disturbance_Wind_P,Disturbance_Wind_Y,Disturbance_Sensor_Noise,Disturbance_Payload,Iterations,Best_Cost,Kp_pitch,Ki_pitch,Kd_pitch,Kp_yaw,Ki_yaw,Kd_yaw,Execution_Time_sec,Pitch_RiseTime,Pitch_SettlingTime,Pitch_Overshoot,Pitch_SSE,Pitch_CE,Pitch_ITAE,Yaw_RiseTime,Yaw_SettlingTime,Yaw_Overshoot,Yaw_SSE,Yaw_CE,Yaw_ITAE
2026-07-04 15:48:25,CMA-ES,time_domain_objective,aggressive,step,classic,,20.0,0.436,0.52,0.0,0.0,0.0,1.0,50.0,0.8321123562674698,56.94549601263689,48.422459965419065,44.60540284430138,53.58932754957912,17.712261742053826,1.9242797019755176,11.918410301208496,1.0500000000000007,5.159999999999934,20.78868322447354,0.0032974931942166,6116.608974743304,1.331997121719619,0.17,0.6300000000000003,17.64029288185089,6.887224190210706e-05,62.29629408118,0.1599465309815874
2026-07-04 15:48:25,GWO,time_domain_objective,aggressive,step,classic,,20.0,0.436,0.52,0.0,0.0,0.0,1.0,50.0,0.269568238491549,100.0,100.0,0.0,100.0,13.69889858745983,0.0,223.04865741729736,0.0799999999999999,0.4400000000000002,25.229705369879955,2.2525988296884236e-09,105.93341801257908,0.0209192753262509,0.13,0.8700000000000006,33.63041945472583,2.16679199527281e-05,139.22994892756648,0.0426989884146435
,LQR_Decentralized_Baseline,default_objective,balanced,step,classic,,20.0,0.436,0.52,0.0,0.0,0.0,1.0,,,,,,,,,,0.3700000000000002,0.9700000000000006,5.150548817634922,7.438494264988549e-15,57.15184820034517,0.0596177829724261,0.3700000000000003,1.9500000000000013,30.00510198768007,3.064215547965432e-14,28.878784245182946,0.2159704161295581
,LQR_Decentralized_Baseline,time_domain_objective,balanced,step,classic,,20.0,0.436,0.52,0.0,0.0,0.0,1.0,,,,,,,,,,0.3700000000000002,0.9700000000000006,5.150548817634922,7.438494264988549e-15,57.15184820034517,0.0596177829724261,0.3700000000000003,1.9500000000000013,30.00510198768007,3.064215547965432e-14,28.878784245182946,0.2159704161295581
,LQR_Decentralized_Baseline,time_domain_objective,aggressive,step,classic,,20.0,0.436,0.52,0.0,0.0,0.0,1.0,,,,,,,,,,0.3700000000000002,0.9700000000000006,5.150548817634922,7.438494264988549e-15,57.15184820034517,0.0596177829724261,0.3700000000000003,1.9500000000000013,30.00510198768007,3.064215547965432e-14,28.878784245182946,0.2159704161295581
,MIMO_LQR_Baseline,default_objective,balanced,step,classic,,20.0,0.436,0.52,0.0,0.0,0.0,1.0,,,,,,,,,,0.3900000000000002,1.300000000000001,6.325044098487977,6.106226635438361e-16,56.83257863632701,0.0624691721680913,0.3700000000000003,1.9600000000000013,30.294342034516568,2.0206059048177852e-14,28.7302351365214,0.2186975802281786
,MIMO_LQR_Baseline,time_domain_objective,balanced,step,classic,,20.0,0.436,0.52,0.0,0.0,0.0,1.0,,,,,,,,,,0.3900000000000002,1.300000000000001,6.325044098487977,6.106226635438361e-16,56.83257863632701,0.0624691721680913,0.3700000000000003,1.9600000000000013,30.294342034516568,2.0206059048177852e-14,28.7302351365214,0.2186975802281786
,MIMO_LQR_Baseline,time_domain_objective,aggressive,step,classic,,20.0,0.436,0.52,0.0,0.0,0.0,1.0,,,,,,,,,,0.3900000000000002,1.300000000000001,6.325044098487977,6.106226635438361e-16,56.83257863632701,0.0624691721680913,0.3700000000000003,1.9600000000000013,30.294342034516568,2.0206059048177852e-14,28.7302351365214,0.2186975802281786
,LQR Decentralized,default_objective,balanced,step,classic,None,20.0,0.436,0.52,0.0,0.0,0.0,1.0,,,,,,,,,,0.3700000000000002,0.9700000000000006,5.150548817634922,7.438494264988549e-15,57.15184820034517,0.05961778297242617,0.3700000000000003,1.9500000000000015,30.00510198768007,3.064215547965432e-14,28.878784245182946,0.2159704161295581
,MIMO LQR,default_objective,balanced,step,classic,None,20.0,0.436,0.52,0.0,0.0,0.0,1.0,,,,,,,,,,0.39000000000000024,1.300000000000001,6.325044098487977,6.106226635438361e-16,56.832578636327014,0.062469172168091384,0.3700000000000003,1.9600000000000015,30.294342034516568,2.020605904817785e-14,28.7302351365214,0.2186975802281786
,LQR Decentralized,time_domain_objective,balanced,step,classic,None,20.0,0.436,0.52,0.0,0.0,0.0,1.0,,,,,,,,,,0.3700000000000002,0.9700000000000006,5.150548817634922,7.438494264988549e-15,57.15184820034517,0.05961778297242617,0.3700000000000003,1.9500000000000015,30.00510198768007,3.064215547965432e-14,28.878784245182946,0.2159704161295581
,MIMO LQR,time_domain_objective,balanced,step,classic,None,20.0,0.436,0.52,0.0,0.0,0.0,1.0,,,,,,,,,,0.39000000000000024,1.300000000000001,6.325044098487977,6.106226635438361e-16,56.832578636327014,0.062469172168091384,0.3700000000000003,1.9600000000000015,30.294342034516568,2.020605904817785e-14,28.7302351365214,0.2186975802281786
,LQR Decentralized,time_domain_objective,aggressive,step,classic,None,20.0,0.436,0.52,0.0,0.0,0.0,1.0,,,,,,,,,,0.3700000000000002,0.9700000000000006,5.150548817634922,7.438494264988549e-15,57.15184820034517,0.05961778297242617,0.3700000000000003,1.9500000000000015,30.00510198768007,3.064215547965432e-14,28.878784245182946,0.2159704161295581
,MIMO LQR,time_domain_objective,aggressive,step,classic,None,20.0,0.436,0.52,0.0,0.0,0.0,1.0,,,,,,,,,,0.39000000000000024,1.300000000000001,6.325044098487977,6.106226635438361e-16,56.832578636327014,0.062469172168091384,0.3700000000000003,1.9600000000000015,30.294342034516568,2.020605904817785e-14,28.7302351365214,0.2186975802281786
