Objective_Type,Tuning_Profile,Controller_Type,GS_Method,Iteration,GWO_Cost
time_domain_objective,balanced,fuzzy,linear,48,0.38308294460790726
time_domain_objective,balanced,fuzzy,linear,49,0.38308294460790726
time_domain_objective,balanced,fuzzy,linear,50,0.38308294460790726
time_domain_objective,balanced,fuzzy,sigmoid,1,0.38576810189743777
time_domain_objective,balanced,fuzzy,sigmoid,2,0.38424018641168733
time_domain_objective,balanced,fuzzy,sigmoid,3,0.38391476522165685
time_domain_objective,balanced,fuzzy,sigmoid,4,0.383871577995531
time_domain_objective,balanced,fuzzy,sigmoid,5,0.3834841404137569
time_domain_objective,balanced,fuzzy,sigmoid,6,0.3834841404137569
time_domain_objective,balanced,fuzzy,sigmoid,7,0.3834841404137569
time_domain_objective,balanced,fuzzy,sigmoid,8,0.38347160176544465
time_domain_objective,balanced,fuzzy,sigmoid,9,0.38347160176544465
time_domain_objective,balanced,fuzzy,sigmoid,10,0.38347160176544465
time_domain_objective,balanced,fuzzy,sigmoid,11,0.38346519452441824
time_domain_objective,balanced,fuzzy,sigmoid,12,0.38346519452441824
time_domain_objective,balanced,fuzzy,sigmoid,13,0.38346519452441824
time_domain_objective,balanced,fuzzy,sigmoid,14,0.38346519452441824
time_domain_objective,balanced,fuzzy,sigmoid,15,0.38346519452441824
time_domain_objective,balanced,fuzzy,sigmoid,16,0.38346519452441824
time_domain_objective,balanced,fuzzy,sigmoid,17,0.38346519452441824
time_domain_objective,balanced,fuzzy,sigmoid,18,0.38346519452441824
time_domain_objective,balanced,fuzzy,sigmoid,19,0.38346519452441824
time_domain_objective,balanced,fuzzy,sigmoid,20,0.38346419166488244
time_domain_objective,balanced,fuzzy,sigmoid,21,0.38346419166488244
time_domain_objective,balanced,fuzzy,sigmoid,22,0.38346419166488244
time_domain_objective,balanced,fuzzy,sigmoid,23,0.38346419166488244
time_domain_objective,balanced,fuzzy,sigmoid,24,0.38346419166488244
time_domain_objective,balanced,fuzzy,sigmoid,25,0.38346419166488244
time_domain_objective,balanced,fuzzy,sigmoid,26,0.38346419166488244
time_domain_objective,balanced,fuzzy,sigmoid,27,0.38346227530451626
time_domain_objective,balanced,fuzzy,sigmoid,28,0.38346227530451626
time_domain_objective,balanced,fuzzy,sigmoid,29,0.38346227530451626
time_domain_objective,balanced,fuzzy,sigmoid,30,0.38346227530451626
time_domain_objective,balanced,fuzzy,sigmoid,31,0.38346227530451626
time_domain_objective,balanced,fuzzy,sigmoid,32,0.38346227530451626
time_domain_objective,balanced,fuzzy,sigmoid,33,0.38346227530451626
time_domain_objective,balanced,fuzzy,sigmoid,34,0.38346227530451626
time_domain_objective,balanced,fuzzy,sigmoid,35,0.38346227530451626
time_domain_objective,balanced,fuzzy,sigmoid,36,0.38346227530451626
time_domain_objective,balanced,fuzzy,sigmoid,37,0.38346227530451626
time_domain_objective,balanced,fuzzy,sigmoid,38,0.38346227530451626
time_domain_objective,balanced,fuzzy,sigmoid,39,0.38346227530451626
time_domain_objective,balanced,fuzzy,sigmoid,40,0.38346227530451626
time_domain_objective,balanced,fuzzy,sigmoid,41,0.38346227530451626
time_domain_objective,balanced,fuzzy,sigmoid,42,0.3834620782709576
time_domain_objective,balanced,fuzzy,sigmoid,43,0.3834620782709576
