Seed,Objective_Type,Tuning_Profile,Controller_Type,GS_Method,Iteration,PSO_Cost,PSO_Time,TPE_Cost,TPE_Time,CMA-ES_Cost,CMA-ES_Time,GWO_Cost,GWO_Time
None,time_domain_objective,balanced,classic,None,18,0.3128701190435496,64.24725651741028,0.4341840824519014,3.891044,0.3380386783905728,4.474766,0.2815821931621147,68.09233659994788
None,time_domain_objective,balanced,classic,None,19,0.3128701190435496,67.41962027549744,0.4341840824519014,3.967465,0.3380386783905728,4.474766,0.2815821931621147,71.87803649995476
None,time_domain_objective,balanced,classic,None,20,0.3128701190435496,70.59163880348206,0.3822767544624821,5.297894,0.3380386783905728,4.387846,0.2815821931621147,75.61028229992371
None,time_domain_objective,balanced,classic,None,21,0.3128701190435496,73.70517420768738,0.3822767544624821,5.15262,0.3380386783905728,4.420458,0.28158198305526877,79.38895509991562
None,time_domain_objective,balanced,classic,None,22,0.3128701190435496,76.75937008857727,0.3822767544624821,5.168709,0.3380386783905728,4.403564,0.28158198305526877,83.16726569994353
None,time_domain_objective,balanced,classic,None,23,0.3128701190435496,79.92337417602539,0.3822767544624821,4.107432,0.3380386783905728,4.418095,0.2815811819659803,86.93034209992038
None,time_domain_objective,balanced,classic,None,24,0.3128701190435496,83.00832152366638,0.3822767544624821,5.297894,0.3380386783905728,6.092976,0.2815811819659803,90.71734159992775
None,time_domain_objective,balanced,classic,None,25,0.3128701190435496,86.07131171226501,0.3822767544624821,5.297894,0.3380386783905728,5.677255,0.2815811819659803,94.53074629994808
None,time_domain_objective,balanced,classic,None,26,0.3128701190435496,89.12527060508728,0.3822767544624821,5.241067,0.3380386783905728,6.279049,0.28158029036432125,98.32263669994427
None,time_domain_objective,balanced,classic,None,27,0.3128701190435496,92.17290997505188,0.3822767544624821,5.297894,0.3380386783905728,5.844046,0.28158029036432125,102.10617399995681
None,time_domain_objective,balanced,classic,None,28,0.3128701190435496,95.18610692024231,0.3822767544624821,5.515081,0.3380386783905728,5.693628,0.28158029036432125,105.90245860000141
None,time_domain_objective,balanced,classic,None,29,0.3128701190435496,98.28827929496765,0.3822767544624821,6.000528,0.3380386783905728,6.410356,0.28158029036432125,109.68689479999011
None,time_domain_objective,balanced,classic,None,30,0.3128701190435496,101.36244678497314,0.3822767544624821,6.09419,0.3380386783905728,8.01595,0.28158029036432125,113.48952199995983
None,time_domain_objective,balanced,classic,None,31,0.3128701190435496,104.37483859062195,0.3822767544624821,6.136413,0.3380386783905728,8.162962,0.28158029036432125,117.25016649992904
None,time_domain_objective,balanced,classic,None,32,0.3128701190435496,107.41822123527527,0.3822767544624821,6.321886,0.3380386783905728,8.738013,0.28158029036432125,121.19540059991414
None,time_domain_objective,balanced,classic,None,33,0.3128701190435496,110.41600155830383,0.38025210703062096,7.03086,0.3380386783905728,8.108226,0.28158029036432125,125.03784329991322
None,time_domain_objective,balanced,classic,None,34,0.3128701190435496,113.49736332893372,0.38025210703062096,6.535945,0.3380386783905728,7.978498,0.28158029036432125,128.85881389991846
None,time_domain_objective,balanced,classic,None,35,0.3128701190435496,116.51903653144836,0.38025210703062096,7.137275,0.3380386783905728,7.96156,0.28158029036432125,132.61301749991253
None,time_domain_objective,balanced,classic,None,36,0.3128701190435496,119.52494192123413,0.38025210703062096,7.691361,0.3380386783905728,6.96042,0.28158029036432125,136.39311229990562
None,time_domain_objective,balanced,classic,None,37,0.3128701190435496,122.51135897636414,0.38025210703062096,7.731904,0.3380386783905728,8.226491,0.28158029036432125,140.19956609990913
